overall interesting clarity materials tasks user_id lesson_name stream_name module_name course share45 var
5.0 5.0 5.0 5.0 5.0 16551499 "У меня получилось: видео-истории выпускников" "Профессия инженер по тестированию 34.0 Профессия QA" "Погружение в обучение" "Профессия QA" 1.0 0.0
4.0 4.0 5.0 4.0  1797536 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Маркетинг на международных рынках" 0.75 0.33333333333333337
5.0 5.0 5.0 5.0 5.0 17359738 "Условный оператор. Часть 2" "Отборочный курс ""Java-разработчик"". Sprint 4.0" "Введение в программирование" "Отборочный курс на профессию “Java-разработчик”" 1.0 0.0
4.0 3.0 4.0 4.0 5.0 3279412 "Урок 2. Обработка данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 0.75 0.6666666666666666
4.0 5.0 4.0 5.0 5.0 5738045 "Урок без имени" "Поток без имени" "Модуль без имени" "Профессия Аналитик данных - Демо доступ" 1.0 0.25
5.0 5.0 5.0 4.0 4.0 15661845 "Урок 9. Критическое мышление" "Профессия Аналитик данных 23.0" Soft-track "Профессия Аналитик данных" 1.0 0.3333333333333333
4.0 4.0 3.0 3.0 2.0 14471367 "Курсовой проект. Часть 2" "Профессия Аналитик данных 15.0" Python "Профессия Аналитик данных" 0.25 0.6666666666666666
4.0 4.0 3.0 3.0 3.0 15099398 "Урок 15. Основы оптимизации" "Профессия Аналитик данных 20.0" SQL "Профессия Аналитик данных" 0.25 0.25
5.0 5.0 5.0 4.0 4.0 5326994 "Урок 4. Функции и библиотеки" "Профессия Аналитик данных 22.0" Python "Профессия Аналитик данных" 1.0 0.3333333333333333
4.0 4.0 4.0 4.0 4.0 16588557 "4. Целеполагание и приоритеты" "Профессия Python-разработчик 16.0" "0. Soft track (надпрофессиональные навыки)" "Профессия Python разработчик" 1.0 0.0
5.0 5.0 5.0 5.0 5.0 16355062 "Условный оператор" "Профессия Java-разработчик 13.0" "Введение в профессию и синтаксис языка" "Профессия Java разработчик" 1.0 0.0
4.0 4.0 5.0 4.0 4.0 10820310 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.25
3.0 3.0 5.0 3.0 3.0 11748702 "Урок без имени" "Поток без имени" "Модуль без имени" "Финансовая грамотность" 0.25 1.0
4.0 4.0 5.0 4.0 4.0 17560134 "Работа с компьютером: базовые инструменты для учебы" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.25
3.0 3.0 3.0 3.0 3.0 17560134 "Новый ритм жизни – работа с календарем" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.0 0.0
4.0 4.0 4.0 4.0 4.0 17106703 "Урок 3. Агрегация данных" "Профессия Аналитик данных 29.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.0
5.0 5.0 4.0 4.0 5.0 16795766 "Урок 7. Сборка калькулятора юнит-экономики" "Профессия Аналитик данных 28.0" "Основы работы в Excel" "Профессия Аналитик данных 4.0" 1.0 0.3333333333333333
4.0 4.0 5.0 4.0 4.0 17560134 "Работа с компьютером: базовые инструменты для учебы" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.25
4.0 4.0 3.0 3.0 3.0 14431 "Особенности тестирования мобильных приложений. Тестирование Anrdoid и iOS приложений" "Профессия инженер по тестированию 25.0 Профессия QA" "Тестирование мобильных приложений" "Профессия QA" 0.25 0.25
4.0 4.0 3.0 4.0 3.0 17697788 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 0.5 0.3333333333333333
4.0 4.0 5.0 4.0 4.0 17655202 "Урок без имени" "Поток без имени" "Модуль без имени" "Excel для анализа данных" 1.0 0.25
4.0 4.0 5.0 5.0 5.0 17486314 "Добро пожаловать!" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 1.0 0.25
4.0 4.0 3.0 3.0 3.0 17603943 "1.2 Введение в профессию и основы алгоритмизации" "Марафон от Skypro: Выбери свою IT-профессию" Python-разработчик "Марафон от Skypro: Выбери свою IT-профессию" 0.25 0.25
5.0 5.0 5.0 4.0 5.0 16414104 "Регрессионное, smoke и повторное тестирование" "Профессия инженер по тестированию 31.0 Профессия QA" "Основы тестирования" "Профессия QA" 1.0 0.25
4.0 4.0 5.0 4.0 2.0 17486314 "Новый ритм жизни – работа с календарем" "Профессия Аналитик данных 30.0" "Погружение в профессию" "Профессия Аналитик данных 4.0" 0.75 1.5833333333333333
3.0 3.0 3.0 3.0 3.0 16674840 "Настройка ритма жизни" "Профессия инженер по тестированию 33.0 Профессия QA" Soft-трек "Профессия QA" 0.0 0.0
5.0 5.0 5.0 5.0 5.0 15973998 "Регрессионное, smoke и повторное тестирование" "Профессия инженер по тестированию 29.0 Профессия QA" "Основы тестирования" "Профессия QA" 1.0 0.0
